match_id,date,gender,competition,competition_id,stage,team_a,team_b,team_a_score,team_b_score,sets_a,sets_b,winner,venue,country_host,neutral,source,source_match_id,tournament_no,no_in_tournament
fivb_vis:2228,2009-11-18,men,World Cup,WC_MEN,other,EGY,IRN,101,103,2,3,team_b,Osaka Municipal Central Gym,,True,fivb_vis,2228,,
fivb_vis:2229,2009-11-18,men,World Cup,WC_MEN,other,CUB,BRA,101,112,2,3,team_b,Osaka Municipal Central Gym,,True,fivb_vis,2229,,
fivb_vis:2230,2009-11-18,men,World Cup,WC_MEN,other,JPN,POL,108,96,3,2,team_a,Osaka Municipal Central Gym,,True,fivb_vis,2230,,
fivb_vis:2231,2009-11-19,men,World Cup,WC_MEN,other,IRN,BRA,84,98,1,3,team_b,Osaka Municipal Central Gym,,True,fivb_vis,2231,,
fivb_vis:2232,2009-11-19,men,World Cup,WC_MEN,other,POL,CUB,83,97,1,3,team_b,Osaka Municipal Central Gym,,True,fivb_vis,2232,,
fivb_vis:2233,2009-11-19,men,World Cup,WC_MEN,other,EGY,JPN,78,97,1,3,team_b,Osaka Municipal Central Gym,,True,fivb_vis,2233,,
fivb_vis:2234,2009-11-21,men,World Cup,WC_MEN,other,BRA,POL,75,52,3,0,team_a,Nippongaishi Hall,,True,fivb_vis,2234,,
fivb_vis:2235,2009-11-21,men,World Cup,WC_MEN,other,CUB,EGY,111,88,3,2,team_a,Nippongaishi Hall,,True,fivb_vis,2235,,
fivb_vis:2236,2009-11-21,men,World Cup,WC_MEN,other,JPN,IRN,106,112,3,2,team_a,Nippongaishi Hall,,True,fivb_vis,2236,,
fivb_vis:2237,2009-11-22,men,World Cup,WC_MEN,other,EGY,BRA,65,75,0,3,team_b,Nippongaishi Hall,,True,fivb_vis,2237,,
fivb_vis:2238,2009-11-22,men,World Cup,WC_MEN,other,IRN,POL,97,96,1,3,team_b,Nippongaishi Hall,,True,fivb_vis,2238,,
fivb_vis:2239,2009-11-22,men,World Cup,WC_MEN,other,JPN,CUB,61,75,0,3,team_b,Nippongaishi Hall,,True,fivb_vis,2239,,
fivb_vis:2240,2009-11-23,men,World Cup,WC_MEN,other,CUB,IRN,90,76,3,1,team_a,Nippongaishi Hall,,True,fivb_vis,2240,,
fivb_vis:2241,2009-11-23,men,World Cup,WC_MEN,other,POL,EGY,75,56,3,0,team_a,Nippongaishi Hall,,True,fivb_vis,2241,,
fivb_vis:2242,2009-11-23,men,World Cup,WC_MEN,other,BRA,JPN,76,58,3,0,team_a,Nippongaishi Hall,,True,fivb_vis,2242,,
fivb_vis:7853,2016-11-30,women,World Championship,WCH_WOMEN,other,PAN,SLV,75,67,3,0,team_a,Gimnasio Nacional de Voleibol,,True,fivb_vis,7853,,
fivb_vis:7854,2016-11-30,women,World Championship,WCH_WOMEN,other,GTM,HND,108,97,3,2,team_a,Gimnasio Nacional de Voleibol,,True,fivb_vis,7854,,
fivb_vis:7855,2016-12-01,women,World Championship,WCH_WOMEN,other,SLV,GTM,58,75,0,3,team_b,Gimnasio Nacional de Voleibol,,True,fivb_vis,7855,,
fivb_vis:7856,2016-12-01,women,World Championship,WCH_WOMEN,other,NIC,PAN,97,86,3,1,team_a,Gimnasio Nacional de Voleibol,,True,fivb_vis,7856,,
fivb_vis:7857,2016-12-02,women,World Championship,WCH_WOMEN,other,PAN,GTM,53,75,0,3,team_b,Gimnasio Nacional de Voleibol,,True,fivb_vis,7857,,
fivb_vis:7858,2016-12-02,women,World Championship,WCH_WOMEN,other,NIC,HND,75,56,3,0,team_a,Estado Nacional de Voleibol,,True,fivb_vis,7858,,
fivb_vis:7859,2016-12-03,women,World Championship,WCH_WOMEN,other,HND,SLV,98,109,2,3,team_b,Gimnasio Nacional de Voleibol,,True,fivb_vis,7859,,
fivb_vis:7860,2016-12-03,women,World Championship,WCH_WOMEN,other,GTM,NIC,51,75,0,3,team_b,Gimnasio Nacional de Voleibol,,True,fivb_vis,7860,,
