match_id,date,gender,competition,competition_id,stage,team_a,team_b,team_a_score,team_b_score,sets_a,sets_b,winner,venue,country_host,neutral,source,source_match_id,tournament_no,no_in_tournament,elo_a_pre,elo_b_pre,elo_pred_a,elo_a_post,elo_b_post,a_matches_played,a_current_streak,a_days_since_last,a_win_rate_last5,a_set_margin_avg_last5,a_win_rate_last10,a_set_margin_avg_last10,b_matches_played,b_current_streak,b_days_since_last,b_win_rate_last5,b_set_margin_avg_last5,b_win_rate_last10,b_set_margin_avg_last10,h2h_matches_played,h2h_win_rate_a,competition_importance,stage_importance,match_importance,tournament_progress,elo_diff,matches_played_diff,current_streak_diff,days_since_last_diff,win_rate_last5_diff,set_margin_avg_last5_diff,win_rate_last10_diff,set_margin_avg_last10_diff
fivb_vis:2228,2009-11-18,men,World Cup,WC_MEN,other,EGY,IRN,101,103,2,3,team_b,Osaka Municipal Central Gym,,True,fivb_vis,2228,10,1,1378.3804418770812,1474.6222995021694,0.3649339417040573,1366.7025557425513,1486.3001856366993,21,-5,457.0,0.0,-3.0,0.3,-1.4,18,1,80.0,0.8,1.2,0.6,0.5,0,,4.0,1.0,4.0,0.06666666666666667,-96.24185762508819,3,-6,377.0,-0.8,-4.2,-0.3,-1.9
fivb_vis:2229,2009-11-18,men,World Cup,WC_MEN,other,CUB,BRA,101,112,2,3,team_b,Osaka Municipal Central Gym,,True,fivb_vis,2229,10,2,1532.9698706520055,1719.5874899573107,0.2545942934238505,1524.8228532624423,1727.734507346874,15,4,94.0,0.8,2.2,0.6,0.7,30,-1,451.0,0.8,1.8,0.8,1.7,1,0.0,4.0,1.0,4.0,0.13333333333333333,-186.6176193053052,-15,5,-357.0,0.0,0.40000000000000013,-0.20000000000000007,-1.0
fivb_vis:2230,2009-11-18,men,World Cup,WC_MEN,other,JPN,POL,108,96,3,2,team_a,Osaka Municipal Central Gym,,True,fivb_vis,2230,10,3,1494.9688727053353,1694.5609164900882,0.24068198905836563,1519.2670490554676,1670.262740139956,37,3,80.0,0.6,0.2,0.5,0.0,23,3,94.0,0.8,1.6,0.8,1.6,1,0.0,4.0,1.0,4.0,0.2,-199.59204378475283,14,0,-14.0,-0.20000000000000007,-1.4000000000000001,-0.30000000000000004,-1.6
fivb_vis:2231,2009-11-19,men,World Cup,WC_MEN,other,IRN,BRA,84,98,1,3,team_b,Osaka Municipal Central Gym,,True,fivb_vis,2231,10,4,1486.3001856366993,1727.734507346874,0.19943846217163683,1479.918154847207,1734.1165381363662,19,2,1.0,0.8,0.8,0.7,0.8,31,1,1.0,0.8,1.4,0.8,1.5,0,,4.0,1.0,4.0,0.26666666666666666,-241.43432171017457,-12,1,0.0,0.0,-0.5999999999999999,-0.10000000000000009,-0.7
fivb_vis:2232,2009-11-19,men,World Cup,WC_MEN,other,POL,CUB,83,97,1,3,team_b,Osaka Municipal Central Gym,,True,fivb_vis,2232,10,5,1670.262740139956,1524.8228532624423,0.6978792430419286,1647.930604362614,1547.1549890397841,24,-1,1.0,0.6,1.2,0.7,1.2,16,-1,1.0,0.8,2.2,0.6,0.9,0,,4.0,1.0,4.0,0.3333333333333333,145.43988687751357,8,0,0.0,-0.20000000000000007,-1.0000000000000002,0.09999999999999998,0.29999999999999993
fivb_vis:2233,2009-11-19,men,World Cup,WC_MEN,other,EGY,JPN,78,97,1,3,team_b,Osaka Municipal Central Gym,,True,fivb_vis,2233,10,6,1366.7025557425513,1519.2670490554676,0.2935443231822816,1357.3091374007183,1528.6604673973006,22,-6,1.0,0.0,-2.6,0.3,-1.2,38,4,1.0,0.8,1.0,0.5,0.0,2,0.0,4.0,1.0,4.0,0.4,-152.56449331291628,-16,-10,0.0,-0.8,-3.6,-0.2,-1.2
fivb_vis:2234,2009-11-21,men,World Cup,WC_MEN,other,BRA,POL,75,52,3,0,team_a,Nippongaishi Hall,,True,fivb_vis,2234,10,7,1734.1165381363662,1647.930604362614,0.6215485230997896,1746.226985397173,1635.8201571018074,32,2,2.0,0.8,1.2,0.8,1.5,25,-2,2.0,0.6,1.0,0.6,0.7,2,1.0,4.0,1.0,4.0,0.4666666666666667,86.18593377375214,7,4,0.0,0.20000000000000007,0.19999999999999996,0.20000000000000007,0.8
fivb_vis:2235,2009-11-21,men,World Cup,WC_MEN,other,CUB,EGY,111,88,3,2,team_a,Nippongaishi Hall,,True,fivb_vis,2235,10,8,1547.1549890397841,1357.3091374007183,0.7489162419486006,1555.189669297429,1349.2744571430735,17,1,2.0,0.8,2.0,0.7,1.3,23,-7,2.0,0.0,-2.4,0.3,-1.2,0,,4.0,1.0,4.0,0.5333333333333333,189.8458516390658,-6,8,0.0,0.8,4.4,0.39999999999999997,2.5
fivb_vis:2236,2009-11-21,men,World Cup,WC_MEN,other,JPN,IRN,106,112,3,2,team_a,Nippongaishi Hall,,True,fivb_vis,2236,10,9,1528.6604673973006,1479.918154847207,0.5696892232952324,1542.430412251853,1466.1482099926545,39,5,2.0,1.0,2.0,0.5,-0.1,20,-1,2.0,0.6,0.0,0.7,0.9,2,1.0,4.0,1.0,4.0,0.6,48.74231255009363,19,6,0.0,0.4,2.0,-0.19999999999999996,-1.0
fivb_vis:2237,2009-11-22,men,World Cup,WC_MEN,other,EGY,BRA,65,75,0,3,team_b,Nippongaishi Hall,,True,fivb_vis,2237,10,10,1349.2744571430735,1746.226985397173,0.09236933940258858,1346.3186382821907,1749.1828042580557,24,-8,1.0,0.0,-2.0,0.2,-1.5,33,3,1.0,0.8,1.2,0.8,1.5,2,0.0,4.0,1.0,4.0,0.6666666666666666,-396.95252825409943,-9,-11,0.0,-0.8,-3.2,-0.6000000000000001,-3.0
