match_id,set_number,team_a_points,team_b_points
fivb_vis:2228,1,25,21
fivb_vis:2228,2,20,25
fivb_vis:2228,3,21,25
fivb_vis:2228,4,25,17
fivb_vis:2228,5,10,15
fivb_vis:2229,1,22,25
fivb_vis:2229,2,26,24
fivb_vis:2229,3,18,25
fivb_vis:2229,4,25,23
fivb_vis:2229,5,10,15
fivb_vis:2230,1,22,25
fivb_vis:2230,2,25,15
fivb_vis:2230,3,21,25
fivb_vis:2230,4,25,21
fivb_vis:2230,5,15,10
fivb_vis:2231,1,22,25
fivb_vis:2231,2,18,25
fivb_vis:2231,3,25,23
fivb_vis:2231,4,19,25
fivb_vis:2232,1,25,22
fivb_vis:2232,2,18,25
fivb_vis:2232,3,18,25
fivb_vis:2232,4,22,25
fivb_vis:2233,1,15,25
fivb_vis:2233,2,25,22
fivb_vis:2233,3,21,25
fivb_vis:2233,4,17,25
fivb_vis:2234,1,25,17
fivb_vis:2234,2,25,17
fivb_vis:2234,3,25,18
fivb_vis:2235,1,25,17
fivb_vis:2235,2,23,25
fivb_vis:2235,3,25,14
fivb_vis:2235,4,23,25
fivb_vis:2235,5,15,7
fivb_vis:2236,1,27,25
fivb_vis:2236,2,18,25
fivb_vis:2236,3,25,23
fivb_vis:2236,4,20,25
fivb_vis:2236,5,16,14
fivb_vis:2237,1,21,25
fivb_vis:2237,2,22,25
fivb_vis:2237,3,22,25
fivb_vis:2238,1,23,25
fivb_vis:2238,2,25,18
fivb_vis:2238,3,26,28
fivb_vis:2238,4,23,25
fivb_vis:2239,1,19,25
fivb_vis:2239,2,20,25
fivb_vis:2239,3,22,25
fivb_vis:2240,1,25,14
fivb_vis:2240,2,25,22
fivb_vis:2240,3,15,25
fivb_vis:2240,4,25,15
fivb_vis:2241,1,25,19
fivb_vis:2241,2,25,18
fivb_vis:2241,3,25,19
fivb_vis:2242,1,25,12
fivb_vis:2242,2,26,24
fivb_vis:2242,3,25,22
fivb_vis:7853,1,25,23
fivb_vis:7853,2,25,21
fivb_vis:7853,3,25,23
fivb_vis:7854,1,21,25
fivb_vis:7854,2,22,25
fivb_vis:7854,3,25,21
fivb_vis:7854,4,25,17
fivb_vis:7854,5,15,9
fivb_vis:7855,1,17,25
fivb_vis:7855,2,21,25
fivb_vis:7855,3,20,25
fivb_vis:7856,1,25,20
fivb_vis:7856,2,20,25
fivb_vis:7856,3,27,25
fivb_vis:7856,4,25,16
fivb_vis:7857,1,17,25
fivb_vis:7857,2,13,25
fivb_vis:7857,3,23,25
fivb_vis:7858,1,25,18
fivb_vis:7858,2,25,22
fivb_vis:7858,3,25,16
fivb_vis:7859,1,25,20
fivb_vis:7859,2,21,25
fivb_vis:7859,3,26,24
fivb_vis:7859,4,18,25
fivb_vis:7859,5,8,15
fivb_vis:7860,1,22,25
fivb_vis:7860,2,15,25
fivb_vis:7860,3,14,25
fivb_vis:7861,1,29,27
fivb_vis:7861,2,13,25
fivb_vis:7861,3,19,25
fivb_vis:7861,4,23,25
fivb_vis:7862,1,10,25
fivb_vis:7862,2,22,25
fivb_vis:7862,3,22,25
fivb_vis:7459,1,25,16
fivb_vis:7459,2,20,25
fivb_vis:7459,3,23,25
fivb_vis:7459,4,19,25
fivb_vis:7460,1,25,20
fivb_vis:7460,2,25,17
fivb_vis:7460,3,25,20
fivb_vis:7461,1,25,6
fivb_vis:7461,2,25,10
fivb_vis:7461,3,25,9
fivb_vis:7462,1,11,25
fivb_vis:7462,2,13,25
fivb_vis:7462,3,12,25
fivb_vis:7463,1,25,21
fivb_vis:7463,2,25,22
fivb_vis:7463,3,24,26
fivb_vis:7463,4,18,25
fivb_vis:7463,5,7,15
fivb_vis:7464,1,14,25
fivb_vis:7464,2,10,25
fivb_vis:7464,3,7,25
fivb_vis:7465,1,10,25
fivb_vis:7465,2,17,25
fivb_vis:7465,3,10,25
fivb_vis:7466,1,25,15
fivb_vis:7466,2,25,22
fivb_vis:7466,3,26,24
fivb_vis:7467,1,16,25
fivb_vis:7467,2,16,25
fivb_vis:7467,3,15,25
fivb_vis:7468,1,23,25
fivb_vis:7468,2,19,25
fivb_vis:7468,3,23,25
fivb_vis:7469,1,18,25
fivb_vis:7469,2,25,20
fivb_vis:7469,3,16,25
fivb_vis:7469,4,18,25
fivb_vis:7470,1,25,16
fivb_vis:7470,2,26,24
fivb_vis:7470,3,25,20
fivb_vis:7471,1,12,25
fivb_vis:7471,2,7,25
fivb_vis:7471,3,11,25
fivb_vis:7472,1,23,25
fivb_vis:7472,2,39,37
fivb_vis:7472,3,16,25
fivb_vis:7472,4,26,24
fivb_vis:7472,5,19,17
fivb_vis:7473,1,20,25
fivb_vis:7473,2,17,25
fivb_vis:7473,3,14,25
fivb_vis:7474,1,12,25
fivb_vis:7474,2,18,25
fivb_vis:7474,3,17,25
fivb_vis:7475,1,25,20
fivb_vis:7475,2,25,18
fivb_vis:7475,3,25,21
fivb_vis:7476,1,20,25
fivb_vis:7476,2,11,25
fivb_vis:7476,3,20,25
fivb_vis:7477,1,18,25
fivb_vis:7477,2,11,25
fivb_vis:7477,3,29,31
fivb_vis:7478,1,25,21
fivb_vis:7478,2,25,22
fivb_vis:7478,3,29,27
fivb_vis:7479,1,20,25
fivb_vis:7479,2,18,25
fivb_vis:7479,3,19,25
fivb_vis:7480,1,25,18
fivb_vis:7480,2,25,21
fivb_vis:7480,3,25,21
fivb_vis:7481,1,25,10
fivb_vis:7481,2,25,18
fivb_vis:7481,3,25,20
fivb_vis:7482,1,15,25
fivb_vis:7482,2,25,22
fivb_vis:7482,3,25,22
fivb_vis:7482,4,25,19
fivb_vis:7483,1,15,25
fivb_vis:7483,2,15,25
fivb_vis:7483,3,27,25
fivb_vis:7483,4,20,25
fivb_vis:7484,1,25,15
fivb_vis:7484,2,25,16
fivb_vis:7484,3,25,17
fivb_vis:7485,1,25,20
fivb_vis:7485,2,25,18
fivb_vis:7485,3,25,21
fivb_vis:7486,1,25,16
fivb_vis:7486,2,25,18
fivb_vis:7486,3,25,11
fivb_vis:7487,1,25,21
fivb_vis:7487,2,27,25
fivb_vis:7487,3,25,21
fivb_vis:9057,1,25,21
fivb_vis:9057,2,25,19
fivb_vis:9057,3,25,22
fivb_vis:9058,1,25,20
fivb_vis:9058,2,25,21
fivb_vis:9058,3,25,23
fivb_vis:9059,1,25,20
fivb_vis:9059,2,25,21
fivb_vis:9059,3,25,17
fivb_vis:9060,1,25,20
fivb_vis:9060,2,28,26
fivb_vis:9060,3,25,21
fivb_vis:9061,1,15,25
fivb_vis:9061,2,23,25
fivb_vis:9061,3,18,25
fivb_vis:9062,1,25,19
fivb_vis:9062,2,25,14
fivb_vis:9062,3,25,18
fivb_vis:9063,1,25,22
fivb_vis:9063,2,13,25
fivb_vis:9063,3,13,25
fivb_vis:9063,4,17,25
fivb_vis:9064,1,21,25
fivb_vis:9064,2,20,25
fivb_vis:9064,3,16,25
fivb_vis:9065,1,25,17
fivb_vis:9065,2,25,22
fivb_vis:9065,3,25,20
fivb_vis:9066,1,18,25
fivb_vis:9066,2,19,25
fivb_vis:9066,3,25,21
fivb_vis:9066,4,14,25
fivb_vis:9067,1,25,19
fivb_vis:9067,2,25,19
fivb_vis:9067,3,22,25
fivb_vis:9067,4,25,19
fivb_vis:9068,1,15,25
fivb_vis:9068,2,25,14
fivb_vis:9068,3,21,25
fivb_vis:9068,4,25,20
fivb_vis:9068,5,15,10
fivb_vis:9069,1,25,27
fivb_vis:9069,2,28,30
fivb_vis:9069,3,19,25
fivb_vis:9070,1,14,25
fivb_vis:9070,2,12,25
fivb_vis:9070,3,15,25
fivb_vis:9071,1,20,25
fivb_vis:9071,2,16,25
fivb_vis:9071,3,16,25
fivb_vis:9072,1,23,25
fivb_vis:9072,2,20,25
fivb_vis:9072,3,25,22
fivb_vis:9072,4,25,23
fivb_vis:9072,5,10,15
fivb_vis:9073,1,25,20
fivb_vis:9073,2,25,20
fivb_vis:9073,3,21,25
fivb_vis:9073,4,23,25
fivb_vis:9073,5,15,12
fivb_vis:9074,1,25,22
fivb_vis:9074,2,25,20
fivb_vis:9074,3,22,25
fivb_vis:9074,4,25,19
fivb_vis:9075,1,25,20
fivb_vis:9075,2,25,17
fivb_vis:9075,3,25,16
fivb_vis:9076,1,28,30
fivb_vis:9076,2,16,25
fivb_vis:9076,3,17,25
fivb_vis:9077,1,21,25
fivb_vis:9077,2,13,25
fivb_vis:9077,3,25,23
fivb_vis:9077,4,13,25
fivb_vis:9078,1,25,19
fivb_vis:9078,2,25,19
fivb_vis:9078,3,20,25
fivb_vis:9078,4,25,16
fivb_vis:9079,1,20,25
fivb_vis:9079,2,25,22
fivb_vis:9079,3,20,25
fivb_vis:9079,4,13,25
fivb_vis:9080,1,21,25
fivb_vis:9080,2,25,17
fivb_vis:9080,3,25,22
fivb_vis:9080,4,25,20
fivb_vis:9081,1,25,22
fivb_vis:9081,2,25,23
fivb_vis:9081,3,25,16
fivb_vis:9082,1,25,16
fivb_vis:9082,2,25,18
fivb_vis:9082,3,25,21
fivb_vis:9083,1,26,24
fivb_vis:9083,2,25,15
fivb_vis:9083,3,25,15
fivb_vis:9084,1,25,19
fivb_vis:9084,2,25,6
fivb_vis:9084,3,25,19
fivb_vis:9085,1,25,22
fivb_vis:9085,2,25,19
fivb_vis:9085,3,21,25
fivb_vis:9085,4,25,23
fivb_vis:9086,1,25,17
fivb_vis:9086,2,18,25
fivb_vis:9086,3,22,25
fivb_vis:9086,4,19,25
fivb_vis:9087,1,25,22
fivb_vis:9087,2,25,21
fivb_vis:9087,3,19,25
fivb_vis:9087,4,23,25
fivb_vis:9087,5,13,15
fivb_vis:9088,1,20,25
fivb_vis:9088,2,25,20
fivb_vis:9088,3,25,21
fivb_vis:9088,4,25,20
fivb_vis:9089,1,21,25
fivb_vis:9089,2,25,20
fivb_vis:9089,3,25,20
fivb_vis:9089,4,25,21
fivb_vis:9090,1,25,20
fivb_vis:9090,2,26,28
fivb_vis:9090,3,25,16
fivb_vis:9090,4,25,15
fivb_vis:9091,1,22,25
fivb_vis:9091,2,25,15
fivb_vis:9091,3,25,23
fivb_vis:9091,4,28,26
fivb_vis:9092,1,25,23
fivb_vis:9092,2,20,25
fivb_vis:9092,3,25,23
fivb_vis:9092,4,25,20
fivb_vis:9093,1,26,28
fivb_vis:9093,2,24,26
fivb_vis:9093,3,25,17
fivb_vis:9093,4,21,25
fivb_vis:9094,1,19,25
fivb_vis:9094,2,23,25
fivb_vis:9094,3,29,27
fivb_vis:9094,4,25,21
fivb_vis:9094,5,10,15
fivb_vis:9095,1,25,14
fivb_vis:9095,2,23,25
fivb_vis:9095,3,14,25
fivb_vis:9095,4,19,25
fivb_vis:9096,1,18,25
fivb_vis:9096,2,20,25
fivb_vis:9096,3,14,25
fivb_vis:9097,1,23,25
fivb_vis:9097,2,19,25
fivb_vis:9097,3,25,21
fivb_vis:9097,4,25,23
fivb_vis:9097,5,15,13
fivb_vis:9098,1,22,25
fivb_vis:9098,2,16,25
fivb_vis:9098,3,18,25
fivb_vis:9099,1,12,25
fivb_vis:9099,2,18,25
fivb_vis:9099,3,15,25
fivb_vis:9100,1,25,20
fivb_vis:9100,2,21,25
fivb_vis:9100,3,25,17
fivb_vis:9100,4,25,19
fivb_vis:9101,1,18,25
fivb_vis:9101,2,21,25
fivb_vis:9101,3,25,23
fivb_vis:9101,4,16,25
fivb_vis:9102,1,25,15
fivb_vis:9102,2,22,25
fivb_vis:9102,3,25,21
fivb_vis:9102,4,25,17
fivb_vis:9103,1,25,18
fivb_vis:9103,2,25,13
fivb_vis:9103,3,25,17
fivb_vis:9104,1,25,16
fivb_vis:9104,2,30,28
fivb_vis:9104,3,25,15
fivb_vis:9105,1,25,22
fivb_vis:9105,2,19,25
fivb_vis:9105,3,25,23
fivb_vis:9105,4,25,18
fivb_vis:9106,1,21,25
fivb_vis:9106,2,20,25
fivb_vis:9106,3,22,25
fivb_vis:9107,1,25,18
fivb_vis:9107,2,22,25
fivb_vis:9107,3,27,29
fivb_vis:9107,4,25,17
fivb_vis:9107,5,15,13
fivb_vis:9108,1,16,25
fivb_vis:9108,2,25,17
fivb_vis:9108,3,25,19
fivb_vis:9108,4,25,16
fivb_vis:9109,1,21,25
fivb_vis:9109,2,22,25
fivb_vis:9109,3,17,25
fivb_vis:9110,1,19,25
fivb_vis:9110,2,25,22
fivb_vis:9110,3,25,23
fivb_vis:9110,4,23,25
fivb_vis:9110,5,12,15
fivb_vis:9111,1,26,24
fivb_vis:9111,2,20,25
fivb_vis:9111,3,30,32
fivb_vis:9111,4,25,20
fivb_vis:9111,5,15,13
fivb_vis:9112,1,25,12
fivb_vis:9112,2,25,18
fivb_vis:9112,3,25,13
fivb_vis:9113,1,22,25
fivb_vis:9113,2,21,25
fivb_vis:9113,3,25,22
fivb_vis:9113,4,17,25
fivb_vis:9114,1,14,25
fivb_vis:9114,2,25,23
fivb_vis:9114,3,22,25
fivb_vis:9114,4,23,25
fivb_vis:9115,1,23,25
fivb_vis:9115,2,25,19
fivb_vis:9115,3,25,13
fivb_vis:9115,4,25,18
fivb_vis:9116,1,25,21
fivb_vis:9116,2,24,26
fivb_vis:9116,3,25,17
fivb_vis:9116,4,22,25
fivb_vis:9116,5,15,12
fivb_vis:9117,1,25,17
fivb_vis:9117,2,25,14
fivb_vis:9117,3,21,25
fivb_vis:9117,4,25,17
fivb_vis:9118,1,22,25
fivb_vis:9118,2,26,24
fivb_vis:9118,3,25,20
fivb_vis:9118,4,18,25
fivb_vis:9118,5,18,16
fivb_vis:9119,1,17,25
fivb_vis:9119,2,16,25
fivb_vis:9119,3,21,25
fivb_vis:9120,1,25,21
fivb_vis:9120,2,25,22
fivb_vis:9120,3,25,15
fivb_vis:9121,1,25,19
fivb_vis:9121,2,28,26
fivb_vis:9121,3,26,24
fivb_vis:9122,1,25,16
fivb_vis:9122,2,19,25
fivb_vis:9122,3,23,25
fivb_vis:9122,4,25,23
fivb_vis:9122,5,14,16
fivb_vis:9123,1,25,20
fivb_vis:9123,2,25,18
fivb_vis:9123,3,25,16
fivb_vis:9124,1,26,28
fivb_vis:9124,2,26,28
fivb_vis:9124,3,19,25
fivb_vis:9125,1,20,25
fivb_vis:9125,2,25,20
fivb_vis:9125,3,15,25
fivb_vis:9125,4,25,23
fivb_vis:9125,5,12,15
fivb_vis:9126,1,25,18
fivb_vis:9126,2,25,22
fivb_vis:9126,3,25,22
fivb_vis:9127,1,25,19
fivb_vis:9127,2,23,25
fivb_vis:9127,3,25,16
fivb_vis:9127,4,25,13
fivb_vis:9128,1,26,28
fivb_vis:9128,2,26,28
fivb_vis:9128,3,20,25
fivb_vis:9129,1,20,25
fivb_vis:9129,2,20,25
fivb_vis:9129,3,18,25
fivb_vis:9130,1,15,25
fivb_vis:9130,2,18,25
fivb_vis:9130,3,25,23
fivb_vis:9130,4,18,25
fivb_vis:9131,1,19,25
fivb_vis:9131,2,25,18
fivb_vis:9131,3,25,21
fivb_vis:9131,4,19,25
fivb_vis:9131,5,15,11
fivb_vis:9132,1,22,25
fivb_vis:9132,2,21,25
fivb_vis:9132,3,16,25
